Student_ID,Age,Gender,Study_Hours_Per_Week,Attendance_Rate,Assignments_Submitted,Course_Grade,Part_Time_Job,Monthly_Income,GPA,Social_Media_Usage_Hours,Extra_Curricular_Activities,Internet_Access,Parental_Education_Level,Mode_of_Transport
S02842,20,Female,31,0.5,7,B,No,6336,2.46,2,No,No,Postgraduate,Car
S02843,22,Male,14,0.61,7,F,Yes,490,3.19,6,Yes,No,Postgraduate,Bus
S02844,24,Male,6,0.53,5,D,Yes,18211,3.2,13,No,No,Graduate,Car
S02845,22,Female,24,0.52,4,B,Yes,11237,2.71,14,Yes,No,Graduate,Bus
S02846,20,Other,32,0.9,9,D,Yes,14292,2.33,13,No,Yes,Graduate,Bike
S02847,21,Other,19,0.51,3,F,Yes,3037,3.43,0,Yes,No,Graduate,Bus
S02848,18,Other,39,0.93,3,F,Yes,3050,2.6,7,No,Yes,Graduate,Walk
S02849,18,Other,5,0.6,9,A,No,19373,3.86,9,No,No,Diploma,Car
S02850,20,Other,28,0.98,7,C,No,1157,2.79,1,No,No,Postgraduate,Walk
S02851,18,Female,33,0.88,6,C,Yes,15303,2.02,12,No,Yes,Postgraduate,Bus
S02852,18,Other,30,0.62,3,C,No,13623,3.08,17,No,No,Diploma,Bike
S02853,21,Other,23,0.65,5,A,No,8974,3.02,8,Yes,No,Graduate,Bus
S02854,23,Female,38,0.64,6,A,No,16576,2.71,2,Yes,No,Graduate,Bus
S02855,21,Other,24,0.61,5,B,Yes,11916,2.26,3,Yes,No,Graduate,Bus
S02856,20,Male,5,0.62,9,C,No,10880,3.36,5,Yes,Yes,Diploma,Bus
S02857,23,Other,20,0.8,7,B,Yes,14329,2.6,3,No,No,High School,Bike
S02858,24,Other,17,0.83,9,B,No,9133,2.09,6,Yes,Yes,Diploma,Walk
S02859,18,Female,28,0.61,2,D,Yes,5087,3.83,4,No,No,Postgraduate,Walk
S02860,20,Male,28,0.92,9,C,Yes,9812,2.32,1,Yes,No,High School,Car
S02861,21,Female,29,0.88,8,A,Yes,648,2.3,0,No,No,Diploma,Walk
S02862,18,Male,39,0.74,1,B,No,5947,2.29,11,No,No,Graduate,Bus
S02863,24,Female,35,0.57,4,C,Yes,12778,2.48,2,Yes,No,Graduate,Car
S02864,21,Female,21,0.7,6,F,Yes,2035,2.46,14,No,Yes,Graduate,Bus
S02865,19,Male,18,0.69,8,C,Yes,15753,2.28,12,Yes,No,High School,Walk
S02866,23,Male,32,0.95,3,B,No,11341,3.53,12,Yes,No,Diploma,Bike
S02867,24,Male,26,0.93,3,F,Yes,8792,3.45,0,Yes,Yes,Diploma,Bus
S02868,24,Male,12,0.52,1,C,No,9163,2.08,8,No,No,Graduate,Bike
S02869,18,Other,5,0.5,5,F,No,5384,2.25,15,Yes,No,Diploma,Bus
S02870,19,Other,15,0.89,0,B,Yes,16735,3.59,10,No,No,Diploma,Bike
S02871,19,Other,33,0.56,5,D,Yes,15117,3.06,3,Yes,No,Postgraduate,Walk
S02872,21,Male,19,0.6,3,C,Yes,6247,2.42,4,Yes,Yes,Graduate,Bus
S02873,21,Other,13,0.97,5,D,Yes,16969,3.58,6,Yes,No,Postgraduate,Car
S02874,22,Other,21,0.68,6,F,No,14281,3.48,10,No,Yes,High School,Walk
S02875,23,Other,31,0.92,6,C,No,18560,3.45,2,No,No,Diploma,Walk
S02876,18,Other,23,0.58,8,A,No,4332,2.17,7,No,Yes,Graduate,Bike
S02877,23,Male,39,0.84,0,D,No,6483,3.51,15,Yes,Yes,Postgraduate,Bus
S02878,22,Female,7,0.81,2,D,No,15505,2.8,14,No,No,High School,Bike
S02879,23,Male,23,0.87,3,F,No,11816,2.43,5,No,Yes,Graduate,Walk
S02880,20,Female,27,0.65,6,B,No,6972,2.92,6,No,No,Postgraduate,Car
S02881,24,Male,11,0.57,3,A,No,5410,2.6,19,Yes,Yes,Diploma,Bike
S02882,20,Male,12,0.54,7,B,No,3531,3.74,19,Yes,Yes,Postgraduate,Bus
S02883,24,Other,9,0.84,1,C,Yes,6433,3.03,0,Yes,No,Postgraduate,Walk
S02884,24,Other,33,0.83,7,B,No,13153,3.4,1,No,Yes,Graduate,Car
S02885,23,Male,33,0.51,6,D,No,17696,2.17,2,Yes,No,Diploma,Car
S02886,21,Other,33,0.8,1,A,No,17300,2.63,17,Yes,No,Graduate,Bike
S02887,20,Female,39,0.57,6,C,No,6807,3.37,9,No,Yes,High School,Walk
S02888,19,Female,27,0.52,8,C,Yes,8945,2.56,3,No,No,High School,Bus
S02889,23,Other,16,0.76,9,D,No,11158,3.15,13,Yes,No,Graduate,Walk
S02890,24,Other,21,0.61,2,B,Yes,7577,2.56,1,Yes,Yes,Postgraduate,Walk
S02891,20,Male,19,0.77,1,C,Yes,4529,2.51,14,Yes,No,High School,Walk
S02892,22,Male,23,0.86,6,C,No,1140,2.44,11,Yes,No,Graduate,Car
S02893,18,Male,27,0.96,8,C,No,16895,2.46,5,Yes,No,Postgraduate,Walk
S02894,24,Other,23,0.67,8,A,No,2802,3.49,8,Yes,No,High School,Walk
S02895,21,Other,33,0.71,5,D,No,4205,2.07,9,Yes,No,High School,Bike
S02896,18,Male,21,0.58,9,C,Yes,11789,2.5,11,No,Yes,Postgraduate,Bike
S02897,21,Other,9,0.86,4,A,Yes,14620,3.82,9,No,No,Diploma,Bike
S02898,23,Female,39,0.91,4,A,No,3825,2.64,9,No,Yes,Diploma,Bus
S02899,20,Female,15,0.85,7,F,Yes,5930,2.76,1,No,No,Graduate,Walk
S02900,20,Female,26,0.72,3,C,No,3577,3.58,12,Yes,No,Diploma,Walk
S02901,21,Male,6,0.78,1,F,Yes,1418,3.41,8,No,No,Graduate,Bike
S02902,18,Male,17,0.61,4,F,Yes,839,2.05,8,Yes,Yes,High School,Walk
S02903,19,Female,30,0.87,6,A,No,14980,2.21,1,No,Yes,Postgraduate,Bus
S02904,21,Female,37,0.83,7,C,No,1816,2.86,17,No,No,Diploma,Bus
S02905,23,Female,26,0.96,7,A,Yes,9252,3.0,17,No,Yes,Diploma,Bike
S02906,19,Other,11,0.78,7,B,No,15986,2.33,2,No,Yes,High School,Car
S02907,22,Female,32,0.87,9,C,Yes,6244,2.5,14,Yes,Yes,Postgraduate,Bus
S02908,21,Female,9,0.75,2,B,Yes,12260,3.56,15,Yes,No,Diploma,Car
S02909,21,Male,37,0.92,3,B,Yes,10170,2.78,15,Yes,No,Graduate,Walk
S02910,19,Male,6,0.8,1,D,Yes,14111,3.58,11,Yes,Yes,High School,Car
S02911,23,Other,9,0.73,1,B,Yes,19449,3.49,18,No,Yes,Graduate,Car
S02912,19,Female,27,0.57,6,B,No,15553,2.75,15,No,No,Diploma,Walk
S02913,23,Male,27,0.9,0,F,No,299,3.68,5,No,Yes,Diploma,Bike
S02914,20,Other,39,0.9,5,C,No,7365,3.23,18,Yes,No,High School,Bus
S02915,18,Other,8,0.66,4,B,No,318,2.06,8,Yes,No,High School,Car
S02916,23,Other,10,0.72,2,F,No,7704,2.39,2,Yes,No,Graduate,Car
S02917,24,Male,10,0.71,5,A,No,2739,2.41,10,No,Yes,High School,Bike
S02918,20,Female,32,0.67,3,A,Yes,5292,2.02,17,Yes,Yes,High School,Bus
S02919,20,Female,17,0.75,4,C,No,17556,3.4,6,Yes,No,Graduate,Bike
S02920,19,Female,11,0.75,2,B,Yes,15254,3.44,13,Yes,No,Graduate,Car
S02921,23,Other,36,0.54,7,D,Yes,19879,3.63,6,Yes,Yes,Postgraduate,Bus
S02922,24,Male,26,0.63,0,D,No,13710,2.97,15,No,No,Postgraduate,Walk
S02923,24,Male,39,0.53,6,B,Yes,17945,2.67,15,Yes,Yes,Postgraduate,Walk
S02924,21,Female,23,0.86,9,A,No,762,3.34,6,Yes,Yes,Postgraduate,Bike
S02925,24,Other,28,0.86,9,A,No,296,3.51,12,Yes,No,High School,Car
S02926,21,Female,37,0.64,5,F,Yes,13699,3.55,2,Yes,No,High School,Bus
S02927,24,Female,5,0.79,6,F,No,10054,3.04,2,No,No,Diploma,Bus
S02928,19,Other,24,0.71,9,D,Yes,11031,2.52,4,Yes,Yes,Graduate,Car
S02929,24,Female,11,0.58,6,F,Yes,10462,2.18,8,No,No,High School,Bike
S02930,24,Other,6,0.84,1,B,No,15953,3.0,1,No,Yes,Postgraduate,Bus
S02931,21,Male,36,0.89,4,F,No,4507,2.65,12,Yes,Yes,Postgraduate,Car
S02932,23,Other,9,0.67,4,C,Yes,13740,3.86,8,Yes,No,Postgraduate,Bus
S02933,18,Male,6,0.76,3,D,No,5036,3.96,16,No,No,Diploma,Walk
S02934,22,Female,7,0.59,8,A,No,10832,2.04,19,No,No,Diploma,Car
S02935,23,Female,18,0.53,0,F,No,956,3.84,12,Yes,No,Graduate,Bus
S02936,21,Female,26,0.63,5,C,Yes,2535,3.0,16,No,No,Diploma,Bus
S02937,21,Other,11,0.91,2,A,No,11050,3.42,13,Yes,Yes,Diploma,Bus
S02938,20,Other,37,0.89,9,F,No,10243,2.36,10,Yes,No,Postgraduate,Bus
S02939,23,Male,19,0.62,7,B,Yes,544,3.74,11,Yes,Yes,High School,Bus
S02940,19,Female,22,0.53,6,D,Yes,16545,2.3,11,No,Yes,High School,Bus
S02941,23,Other,37,0.91,1,A,Yes,7966,3.48,16,No,No,Graduate,Walk
S02942,21,Female,12,0.81,7,A,No,16218,3.51,16,No,Yes,Postgraduate,Walk
S02943,24,Female,19,0.54,0,C,Yes,4958,2.07,0,No,No,Postgraduate,Car
S02944,23,Female,35,0.86,1,D,Yes,11054,3.18,10,Yes,No,Diploma,Bike
S02945,19,Female,32,0.76,0,D,Yes,8024,3.29,6,No,Yes,Diploma,Walk
S02946,20,Male,10,0.57,9,C,No,11155,3.54,5,Yes,Yes,Diploma,Walk
S02947,24,Male,13,0.51,4,F,No,14442,3.32,10,Yes,No,High School,Walk
S02948,18,Other,8,0.92,1,C,Yes,11197,2.11,11,No,Yes,Graduate,Bus
S02949,22,Other,21,0.64,6,A,Yes,8322,2.96,18,Yes,Yes,High School,Bus
S02950,24,Other,21,0.77,8,A,Yes,9218,3.65,12,Yes,Yes,Postgraduate,Car
S02951,23,Male,23,0.57,2,B,Yes,19940,3.2,8,No,No,Diploma,Bus
S02952,18,Female,20,0.84,3,D,Yes,790,2.3,6,No,No,Graduate,Bus
S02953,24,Male,25,0.53,6,A,Yes,322,2.34,12,No,No,Postgraduate,Car
S02954,22,Other,36,0.92,0,A,No,14820,2.63,11,No,Yes,Graduate,Walk
S02955,18,Male,31,0.78,3,D,No,13836,3.02,19,No,Yes,Postgraduate,Bus
S02956,24,Female,25,0.55,0,F,No,6431,2.66,8,No,No,Postgraduate,Walk
S02957,23,Female,17,0.78,7,D,No,11144,2.38,0,Yes,No,Postgraduate,Walk
S02958,22,Female,21,0.71,6,A,No,1092,3.22,10,Yes,Yes,Graduate,Walk
S02959,18,Female,26,0.64,9,D,No,5669,3.64,9,Yes,No,High School,Bus
S02960,24,Male,24,0.84,2,F,Yes,9971,3.23,7,Yes,Yes,High School,Car
S02961,24,Female,25,0.91,5,A,Yes,16574,2.3,17,Yes,Yes,High School,Bus
S02962,19,Female,15,0.56,7,F,No,19990,2.08,2,No,Yes,High School,Car
S02963,22,Female,22,0.64,4,B,Yes,523,3.18,0,Yes,No,Diploma,Walk
S02964,19,Other,8,0.58,1,F,No,10363,3.96,2,Yes,Yes,Diploma,Bus
S02965,24,Other,6,0.73,3,A,Yes,11284,2.38,15,No,No,Graduate,Car
S02966,20,Male,9,0.5,4,D,Yes,18467,3.22,8,Yes,Yes,Graduate,Walk
S02967,23,Female,38,0.85,1,F,Yes,2174,2.94,15,Yes,Yes,Graduate,Car
S02968,21,Other,11,0.52,0,D,No,8403,3.67,6,Yes,Yes,Postgraduate,Bus
S02969,20,Other,35,0.59,4,A,No,4215,2.12,13,No,No,High School,Walk
S02970,20,Other,34,0.92,6,D,No,6248,2.88,10,Yes,Yes,Diploma,Bus
S02971,22,Female,17,0.91,6,A,No,3186,2.6,12,Yes,No,Graduate,Bus
S02972,22,Male,37,0.81,8,A,Yes,17037,2.49,15,Yes,Yes,Diploma,Bike
S02973,20,Other,33,0.86,3,F,Yes,16567,3.48,12,Yes,Yes,High School,Walk
S02974,18,Male,15,0.78,6,B,Yes,8368,2.41,10,No,No,High School,Walk
S02975,21,Female,16,0.7,8,C,Yes,14540,2.73,0,Yes,No,High School,Bike
S02976,23,Other,33,0.62,0,F,Yes,10678,3.78,3,Yes,Yes,High School,Walk
S02977,19,Male,31,0.95,8,B,Yes,15886,3.54,4,Yes,Yes,Graduate,Car
S02978,19,Female,31,0.95,3,F,Yes,18181,3.35,11,Yes,No,Postgraduate,Car
S02979,24,Other,17,0.95,1,F,No,2530,2.73,13,No,No,Graduate,Car
S02980,18,Male,24,0.96,5,A,Yes,12619,3.32,11,No,Yes,Postgraduate,Car
S02981,21,Male,8,0.88,8,B,Yes,17495,2.32,15,No,Yes,Diploma,Bike
S02982,18,Female,15,0.95,2,C,No,17058,3.24,3,No,Yes,Postgraduate,Walk
S02983,19,Other,21,0.94,5,D,No,17065,2.44,7,Yes,Yes,Diploma,Bike
S02984,18,Male,18,0.63,6,A,No,3824,2.33,2,Yes,Yes,Diploma,Car
S02985,22,Other,18,0.92,0,F,Yes,3265,3.47,1,Yes,No,Postgraduate,Bus
S02986,19,Female,33,0.78,3,D,No,1286,3.63,10,Yes,No,Postgraduate,Walk
S02987,22,Male,31,0.76,8,F,Yes,1964,3.69,4,No,No,Graduate,Bus
S02988,23,Other,28,0.56,5,A,No,15055,2.14,9,Yes,No,Postgraduate,Walk
S02989,23,Male,7,0.93,8,F,Yes,16162,2.26,13,Yes,No,High School,Bus
S02990,24,Other,9,0.66,5,A,No,9456,3.8,5,No,No,High School,Bus
S02991,23,Male,17,0.61,1,F,No,13901,2.78,5,No,No,Postgraduate,Bus
S02992,21,Female,9,0.91,6,D,No,4721,3.45,15,Yes,No,High School,Walk
S02993,22,Other,38,0.51,4,A,No,10496,2.67,3,Yes,No,Diploma,Bike
S02994,18,Other,11,0.6,7,B,Yes,6538,2.42,1,No,No,Graduate,Walk
S02995,23,Male,13,0.75,3,D,No,2057,3.9,3,Yes,Yes,Postgraduate,Bike
S02996,21,Female,38,0.94,2,A,No,2727,2.43,12,No,Yes,Postgraduate,Bike
S02997,20,Female,32,0.72,6,A,Yes,8781,3.24,4,No,Yes,High School,Car
S02998,23,Other,6,0.59,3,B,No,9509,2.67,1,Yes,No,Postgraduate,Car
S02999,21,Female,32,0.74,3,F,Yes,4448,3.85,7,Yes,No,Postgraduate,Bus
S03000,23,Female,8,0.81,0,C,Yes,13212,3.63,1,Yes,Yes,Postgraduate,Walk
S03001,20,Male,28,0.94,6,A,No,946,2.52,11,Yes,No,Diploma,Walk
S03002,20,Female,6,0.9,7,D,No,7648,2.82,19,No,No,Diploma,Bike
S03003,23,Female,37,0.89,7,F,Yes,11068,3.08,12,No,Yes,Postgraduate,Bike
S03004,21,Male,28,0.75,8,D,No,10370,2.08,7,Yes,No,Diploma,Car
S03005,20,Other,37,0.95,0,A,Yes,10508,2.62,14,Yes,Yes,High School,Car
S03006,22,Male,38,0.94,2,B,Yes,11781,3.32,10,Yes,Yes,High School,Car
S03007,23,Other,21,0.88,0,B,No,1571,2.13,3,Yes,No,High School,Walk
S03008,22,Male,24,0.9,1,B,No,762,2.61,19,No,Yes,Graduate,Car
S03009,21,Other,24,0.95,2,F,No,19652,3.31,2,No,Yes,Graduate,Car
S03010,20,Other,27,0.67,4,B,No,3358,2.47,16,Yes,No,Graduate,Bus
S03011,18,Other,9,0.98,6,F,Yes,10403,2.46,18,No,Yes,High School,Car
S03012,21,Male,34,0.57,6,A,No,5112,2.4,6,No,No,Graduate,Walk
S03013,20,Other,25,0.94,8,A,No,14560,3.6,9,Yes,Yes,Postgraduate,Bus
S03014,23,Male,21,0.61,8,C,Yes,3718,3.54,15,Yes,No,High School,Car
S03015,20,Other,19,0.78,8,D,Yes,14994,3.45,11,No,No,Postgraduate,Walk
S03016,23,Female,23,0.79,5,A,Yes,11137,3.64,16,Yes,No,Postgraduate,Bus
S03017,24,Other,31,0.97,4,F,Yes,8289,2.26,5,No,Yes,Graduate,Car
S03018,20,Other,22,0.64,6,F,Yes,12600,3.35,19,Yes,No,Diploma,Bike
S03019,18,Male,27,0.71,4,F,Yes,13679,2.98,1,No,Yes,Postgraduate,Car
S03020,22,Other,13,0.57,2,B,Yes,17970,2.62,8,No,Yes,Postgraduate,Bus
S03021,19,Male,23,0.77,6,D,No,8867,2.76,3,No,No,Graduate,Car
S03022,23,Other,6,0.7,7,C,No,13730,3.01,4,Yes,Yes,High School,Walk
S03023,18,Male,35,0.72,1,D,No,17700,2.82,10,No,Yes,Graduate,Bus
S03024,19,Female,36,0.53,6,D,No,10275,2.3,3,Yes,No,Graduate,Bus
S03025,23,Male,21,0.92,3,A,No,15364,3.15,19,No,No,High School,Car
S03026,22,Female,30,0.68,3,B,Yes,1332,2.09,14,No,No,High School,Car
S03027,20,Female,25,0.82,0,A,Yes,18220,2.47,15,Yes,Yes,Graduate,Car
S03028,19,Male,23,0.82,3,B,Yes,12528,3.54,0,Yes,Yes,Graduate,Bike
S03029,19,Female,19,0.82,6,C,No,10733,2.59,2,No,Yes,Postgraduate,Walk
S03030,24,Other,8,0.62,2,A,No,16903,3.88,11,No,Yes,Postgraduate,Walk
S03031,23,Female,13,0.55,5,B,No,13085,3.68,1,No,Yes,High School,Car
S03032,18,Other,37,0.54,5,B,Yes,7891,2.77,0,Yes,Yes,High School,Walk
S03033,22,Other,31,0.78,5,F,No,12017,3.8,4,No,No,Diploma,Bike
S03034,21,Other,7,0.55,4,A,Yes,10956,2.34,19,Yes,Yes,Graduate,Bus
S03035,23,Female,6,0.7,7,B,No,10447,2.4,13,Yes,No,High School,Walk
S03036,19,Female,5,0.94,5,F,Yes,12695,3.68,12,No,No,Diploma,Walk
S03037,18,Male,8,0.54,3,F,No,5708,3.65,4,Yes,No,Diploma,Bus
S03038,20,Male,23,0.83,3,F,Yes,5219,3.49,3,Yes,No,Graduate,Bike
S03039,22,Other,5,0.71,7,A,No,9043,3.58,4,No,No,Graduate,Walk
S03040,24,Male,19,0.93,6,C,No,1355,3.12,2,Yes,No,Postgraduate,Bus
S03041,24,Female,5,0.87,1,D,Yes,11685,2.15,12,Yes,No,Diploma,Walk
S03042,20,Other,26,0.56,4,F,No,6948,3.79,15,No,No,Graduate,Car
S03043,20,Other,17,0.65,1,A,No,6164,2.26,14,Yes,No,Graduate,Car
S03044,24,Female,16,0.82,9,B,Yes,17122,2.34,10,No,No,Postgraduate,Bus
S03045,21,Other,22,0.59,8,B,No,16197,3.59,3,Yes,Yes,Graduate,Bike
S03046,24,Male,6,0.9,5,D,No,9328,2.1,3,No,Yes,High School,Bike
S03047,19,Female,11,0.62,5,A,No,15236,2.98,4,Yes,Yes,High School,Car
S03048,21,Male,23,0.92,7,B,No,5788,2.53,0,No,No,Diploma,Car
S03049,18,Other,38,0.63,1,D,No,13003,2.68,1,Yes,No,High School,Bus
S03050,21,Male,5,0.61,0,F,No,18478,2.78,9,Yes,No,Graduate,Car
S03051,18,Male,38,0.97,5,D,Yes,3722,2.35,14,Yes,No,Diploma,Walk
S03052,19,Female,22,0.82,9,C,Yes,4108,3.61,9,No,Yes,Graduate,Bus
S03053,19,Other,9,0.77,5,F,No,7948,2.57,5,No,No,High School,Walk
S03054,21,Female,18,0.52,8,B,No,14477,2.82,16,No,Yes,Postgraduate,Walk
S03055,20,Male,33,0.64,4,D,Yes,5326,2.15,5,Yes,Yes,Diploma,Bus
S03056,21,Other,28,0.56,3,A,No,13208,2.2,10,No,No,Postgraduate,Car
S03057,22,Other,15,0.58,5,A,Yes,18069,3.19,15,No,No,Graduate,Bus
S03058,24,Other,31,0.63,5,B,Yes,15469,2.85,11,No,Yes,High School,Bike
S03059,19,Other,26,0.57,4,F,Yes,9463,2.98,1,Yes,No,Diploma,Bike
S03060,24,Male,15,0.95,2,D,No,3343,3.2,0,No,Yes,Graduate,Bus
S03061,24,Female,25,0.54,2,C,No,13691,3.71,10,Yes,No,Diploma,Car
S03062,22,Male,8,0.93,5,F,Yes,13128,2.47,16,No,Yes,High School,Walk
S03063,22,Male,21,0.74,5,C,Yes,15826,2.09,6,No,No,Graduate,Walk
S03064,22,Other,6,0.58,6,D,Yes,15051,2.99,8,Yes,Yes,Diploma,Bus
S03065,24,Female,24,0.76,7,A,Yes,10508,3.14,15,No,Yes,Graduate,Bike
S03066,20,Other,15,0.93,9,A,Yes,12931,2.09,13,No,No,Graduate,Bus
S03067,23,Male,38,0.94,6,A,No,12416,2.26,8,Yes,No,High School,Car
S03068,19,Male,6,0.68,2,A,No,5966,3.75,19,No,Yes,Diploma,Bike
S03069,19,Female,29,0.84,0,B,No,6973,2.03,4,No,No,Diploma,Walk
S03070,23,Female,17,0.53,5,F,Yes,10176,3.59,9,Yes,No,Graduate,Walk
S03071,19,Male,21,0.75,4,D,No,1526,3.4,15,No,Yes,High School,Bus
S03072,23,Other,36,0.61,8,F,Yes,4401,3.91,8,Yes,Yes,Diploma,Walk
S03073,23,Female,18,0.65,4,B,Yes,6828,2.46,8,Yes,Yes,Graduate,Walk
S03074,21,Other,25,0.73,7,A,Yes,15260,2.44,8,Yes,No,Graduate,Bike
S03075,18,Male,37,0.96,3,F,Yes,8892,3.07,13,No,Yes,Diploma,Walk
S03076,19,Male,20,0.91,2,B,Yes,17110,2.97,12,Yes,Yes,High School,Bike
S03077,20,Female,26,0.69,6,D,Yes,12584,3.32,15,No,Yes,Postgraduate,Car
S03078,20,Female,15,0.74,2,F,No,16190,3.37,8,No,No,Postgraduate,Car
S03079,24,Other,33,0.94,6,C,Yes,19022,2.11,16,Yes,No,Diploma,Bus
S03080,18,Male,30,0.54,7,F,Yes,5812,3.19,17,Yes,Yes,High School,Bike
S03081,21,Other,25,0.89,3,B,Yes,6772,3.37,3,Yes,No,Postgraduate,Car
S03082,20,Female,23,0.58,2,C,No,262,2.81,16,No,No,High School,Bike
S03083,24,Male,19,0.64,1,A,Yes,2223,3.79,0,No,Yes,Postgraduate,Car
S03084,18,Female,35,0.61,4,C,No,3820,2.92,2,Yes,Yes,High School,Car
S03085,20,Male,35,0.78,2,A,No,7758,3.55,4,No,No,Graduate,Bike
S03086,18,Other,31,0.61,6,A,Yes,1233,2.19,0,No,Yes,Graduate,Car
S03087,20,Male,11,0.73,8,A,Yes,10413,3.88,11,Yes,Yes,High School,Bike
S03088,21,Other,13,0.51,1,B,Yes,17083,2.97,10,Yes,No,Graduate,Bike
S03089,24,Female,18,0.66,4,F,No,5934,2.38,12,Yes,No,High School,Bus
S03090,21,Male,34,0.86,4,A,Yes,1530,2.21,8,No,No,Graduate,Bike
S03091,23,Female,5,0.72,6,B,Yes,6570,2.99,7,Yes,Yes,Diploma,Bike
S03092,20,Other,21,0.91,6,F,Yes,2604,2.38,9,No,Yes,Diploma,Walk
S03093,23,Male,5,0.73,4,A,Yes,3134,2.48,4,Yes,Yes,High School,Car
S03094,23,Female,22,0.94,4,A,No,3768,2.1,11,No,No,High School,Bike
S03095,24,Other,28,0.7,7,A,No,9869,3.85,2,Yes,Yes,High School,Bike
S03096,20,Male,22,0.68,9,C,Yes,5555,2.79,6,No,No,High School,Walk
S03097,22,Male,24,0.63,3,B,No,17643,3.61,16,No,Yes,High School,Bus
S03098,19,Male,32,0.73,7,A,Yes,13736,3.6,12,Yes,No,Postgraduate,Walk
S03099,21,Female,17,0.92,6,D,Yes,9806,3.51,15,No,Yes,High School,Car
S03100,20,Male,5,0.86,0,F,No,7765,3.62,6,Yes,Yes,Postgraduate,Car
S03101,23,Other,16,0.59,1,A,Yes,15476,2.05,12,Yes,No,Diploma,Walk
S03102,19,Other,37,0.96,5,D,Yes,9407,3.43,17,Yes,Yes,Diploma,Car
S03103,24,Female,16,0.72,6,F,Yes,16446,3.59,4,Yes,No,Graduate,Walk
S03104,20,Male,25,0.61,0,A,No,12317,2.77,17,Yes,Yes,Postgraduate,Bike
S03105,19,Other,6,0.97,8,A,Yes,14811,3.03,5,Yes,No,Graduate,Car
S03106,24,Other,10,0.72,4,F,Yes,9436,3.64,11,Yes,No,Postgraduate,Bus
S03107,19,Male,6,0.59,6,A,Yes,7097,3.85,8,No,Yes,Diploma,Car
S03108,21,Other,27,0.91,2,D,No,19713,2.84,6,Yes,Yes,High School,Walk
S03109,22,Male,39,0.75,7,F,Yes,1438,2.66,3,No,Yes,Graduate,Bike
S03110,18,Other,21,0.6,6,B,Yes,14068,2.39,12,No,Yes,High School,Car
S03111,20,Female,9,0.84,3,A,No,12338,2.45,9,Yes,No,Postgraduate,Walk
S03112,19,Female,14,0.99,0,D,No,8188,2.64,0,Yes,No,Diploma,Bike
S03113,22,Female,15,0.54,7,F,No,17570,2.06,14,Yes,Yes,Graduate,Walk
S03114,19,Female,35,0.72,2,B,No,17615,3.66,6,Yes,Yes,Postgraduate,Bike
S03115,20,Other,7,0.76,0,D,No,6039,3.74,9,Yes,Yes,Graduate,Car
S03116,18,Other,27,0.83,2,D,No,5116,2.21,2,No,No,Graduate,Walk
S03117,21,Male,35,0.61,1,C,Yes,15468,3.65,18,Yes,No,Postgraduate,Bike
S03118,18,Other,37,0.59,0,B,No,16018,3.24,8,Yes,Yes,Graduate,Walk
S03119,21,Female,27,0.87,2,F,Yes,4589,2.58,8,Yes,No,Diploma,Walk
S03120,19,Female,28,0.83,5,F,No,1225,2.35,14,No,No,Postgraduate,Bus
S03121,22,Male,21,0.62,2,A,No,8009,3.7,18,No,Yes,Diploma,Car
S03122,21,Male,12,0.53,3,A,No,12125,3.71,8,No,Yes,Diploma,Car
S03123,19,Male,38,0.9,5,F,No,15587,3.01,8,Yes,Yes,Graduate,Car
S03124,23,Male,19,0.84,4,F,Yes,3520,3.9,15,No,Yes,Graduate,Walk
S03125,20,Female,20,0.94,7,B,Yes,3351,3.16,10,Yes,Yes,High School,Walk
S03126,20,Other,31,0.53,9,F,No,6431,2.95,12,Yes,No,Diploma,Bike
S03127,22,Other,31,0.74,4,D,No,13484,2.37,7,Yes,Yes,Postgraduate,Bike
S03128,24,Other,21,0.58,0,D,No,7430,2.32,1,Yes,No,Graduate,Car
S03129,22,Other,26,0.84,1,D,No,12524,2.45,7,No,No,Postgraduate,Walk
S03130,20,Male,25,0.62,2,C,No,14068,3.82,5,No,Yes,Postgraduate,Walk
S03131,20,Other,9,0.63,1,B,Yes,8212,2.47,6,Yes,Yes,Diploma,Bike
S03132,21,Male,33,0.86,6,F,No,7373,3.81,2,No,Yes,High School,Bike
S03133,22,Male,10,0.91,8,A,Yes,2568,3.51,13,Yes,No,High School,Bus
S03134,20,Other,15,0.96,2,C,Yes,6592,3.03,19,Yes,Yes,High School,Bike
S03135,23,Other,30,0.54,7,B,No,1182,2.77,7,Yes,Yes,High School,Bike
S03136,24,Other,19,0.9,9,A,No,5674,2.41,6,No,Yes,Graduate,Bus
S03137,21,Male,12,0.99,9,D,No,13124,3.29,11,Yes,Yes,Diploma,Walk
S03138,19,Male,37,0.53,2,C,Yes,1858,3.95,5,No,No,Graduate,Bike
S03139,22,Female,28,0.96,3,B,No,11958,3.77,16,No,No,High School,Car
S03140,22,Female,12,0.98,3,D,No,11970,2.58,4,Yes,No,High School,Bus
S03141,20,Female,36,0.6,0,B,Yes,7969,3.97,19,Yes,No,Diploma,Car
S03142,20,Male,28,0.65,9,A,No,3882,3.6,18,Yes,Yes,Postgraduate,Walk
S03143,20,Male,23,0.65,0,D,No,10281,3.35,9,No,No,High School,Bike
S03144,24,Other,39,0.97,4,F,Yes,18033,2.21,13,Yes,Yes,Graduate,Bus
